,Year,Date,Time,Round,Stadium,City,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Outcome,Winner,TotalGoals
463,1990,08-Jul-90, 20:00 ,Final,Stadio Olimpico,Rome ,Germany FR,1,0,Argentina, ,H,Germany FR,1
464,1994,17-Jun-94, 19:30 ,Group C,Cotton Bowl,Dallas ,Spain,2,2,Korea Republic, ,D,Draw,4
465,1994,17-Jun-94, 15:00 ,Group C,Soldier Field,Chicago ,Germany,1,0,Bolivia, ,H,Germany,1
466,1994,18-Jun-94, 11:30 ,Group A,Pontiac Silverdome,Detroit ,USA,1,1,Switzerland, ,D,Draw,2
467,1994,18-Jun-94, 16:00 ,Group E,Giants Stadium,New York/New Jersey ,Italy,0,1,Republic of Ireland, ,A,Republic of Ireland,1
468,1994,18-Jun-94, 19:30 ,Group A,Rose Bowl,Los Angeles ,Colombia,1,3,Romania, ,A,Romania,4
469,1994,19-Jun-94, 12:30 ,Group F,Citrus Bowl,Orlando ,Belgium,1,0,Morocco, ,H,Belgium,1
470,1994,19-Jun-94, 16:00 ,Group E,RFK Stadium,Washington Dc ,Norway,1,0,Mexico, ,H,Norway,1
471,1994,19-Jun-94, 19:30 ,Group B,Rose Bowl,Los Angeles ,Cameroon,2,2,Sweden, ,D,Draw,4
472,1994,20-Jun-94, 19:30 ,Group F,RFK Stadium,Washington Dc ,Netherlands,2,1,Saudi Arabia, ,H,Netherlands,3
473,1994,20-Jun-94, 16:00 ,Group B,Stanford Stadium,San Francisco ,Brazil,2,0,Russia, ,H,Brazil,2
474,1994,21-Jun-94, 12:30 ,Group D,Foxboro Stadium,Boston ,Argentina,4,0,Greece, ,H,Argentina,4
475,1994,21-Jun-94, 19:30 ,Group D,Cotton Bowl,Dallas ,Nigeria,3,0,Bulgaria, ,H,Nigeria,3
476,1994,21-Jun-94, 16:00 ,Group C,Soldier Field,Chicago ,Germany,1,1,Spain, ,D,Draw,2
477,1994,22-Jun-94, 16:00 ,Group A,Pontiac Silverdome,Detroit ,Romania,1,4,Switzerland, ,A,Switzerland,5
478,1994,22-Jun-94, 19:30 ,Group A,Rose Bowl,Los Angeles ,USA,2,1,Colombia, ,H,USA,3
479,1994,23-Jun-94, 16:00 ,Group E,Giants Stadium,New York/New Jersey ,Italy,1,0,Norway, ,H,Italy,1
480,1994,23-Jun-94, 19:30 ,Group C,Foxboro Stadium,Boston ,Korea Republic,0,0,Bolivia, ,D,Draw,0
481,1994,24-Jun-94, 12:30 ,Group E,Citrus Bowl,Orlando ,Mexico,2,1,Republic of Ireland, ,H,Mexico,3
482,1994,24-Jun-94, 19:30 ,Group B,Pontiac Silverdome,Detroit ,Sweden,3,1,Russia, ,H,Sweden,4
483,1994,24-Jun-94, 16:00 ,Group B,Stanford Stadium,San Francisco ,Brazil,3,0,Cameroon, ,H,Brazil,3
484,1994,25-Jun-94, 12:30 ,Group F,Citrus Bowl,Orlando ,Belgium,1,0,Netherlands, ,H,Belgium,1
485,1994,25-Jun-94, 12:30 ,Group F,Giants Stadium,New York/New Jersey ,Saudi Arabia,2,1,Morocco, ,H,Saudi Arabia,3
486,1994,25-Jun-94, 16:00 ,Group D,Foxboro Stadium,Boston ,Argentina,2,1,Nigeria, ,H,Argentina,3
487,1994,26-Jun-94, 12:30 ,Group D,Soldier Field,Chicago ,Bulgaria,4,0,Greece, ,H,Bulgaria,4
488,1994,26-Jun-94, 16:00 ,Group A,Rose Bowl,Los Angeles ,USA,0,1,Romania, ,A,Romania,1
489,1994,26-Jun-94, 16:00 ,Group A,Stanford Stadium,San Francisco ,Switzerland,0,2,Colombia, ,A,Colombia,2
490,1994,27-Jun-94, 16:00 ,Group C,Cotton Bowl,Dallas ,Germany,3,2,Korea Republic, ,H,Germany,5
491,1994,27-Jun-94, 16:00 ,Group C,Soldier Field,Chicago ,Bolivia,1,3,Spain, ,A,Spain,4
492,1994,28-Jun-94, 12:30 ,Group E,Giants Stadium,New York/New Jersey ,Republic of Ireland,0,0,Norway, ,D,Draw,0
493,1994,28-Jun-94, 16:00 ,Group B,Pontiac Silverdome,Detroit ,Brazil,1,1,Sweden, ,D,Draw,2
494,1994,28-Jun-94, 12:30 ,Group E,RFK Stadium,Washington Dc ,Italy,1,1,Mexico, ,D,Draw,2
495,1994,28-Jun-94, 16:00 ,Group B,Stanford Stadium,San Francisco ,Russia,6,1,Cameroon, ,H,Russia,7
496,1994,29-Jun-94, 12:30 ,Group F,Citrus Bowl,Orlando ,Morocco,1,2,Netherlands, ,A,Netherlands,3
497,1994,29-Jun-94, 12:30 ,Group F,RFK Stadium,Washington Dc ,Belgium,0,1,Saudi Arabia, ,A,Saudi Arabia,1
498,1994,30-Jun-94, 19:30 ,Group D,Foxboro Stadium,Boston ,Greece,0,2,Nigeria, ,A,Nigeria,2
499,1994,30-Jun-94, 19:30 ,Group D,Cotton Bowl,Dallas ,Argentina,0,2,Bulgaria, ,A,Bulgaria,2
500,1994,02-Jul-94, 12:00 ,Round of 16,Soldier Field,Chicago ,Germany,3,2,Belgium, ,H,Germany,5
501,1994,02-Jul-94, 16:30 ,Round of 16,RFK Stadium,Washington Dc ,Spain,3,0,Switzerland, ,H,Spain,3
502,1994,03-Jul-94, 12:00 ,Round of 16,Cotton Bowl,Dallas ,Saudi Arabia,1,3,Sweden, ,A,Sweden,4
503,1994,03-Jul-94, 13:30 ,Round of 16,Rose Bowl,Los Angeles ,Romania,3,2,Argentina, ,H,Romania,5
504,1994,04-Jul-94, 12:00 ,Round of 16,Citrus Bowl,Orlando ,Netherlands,2,0,Republic of Ireland, ,H,Netherlands,2
505,1994,04-Jul-94, 12:30 ,Round of 16,Stanford Stadium,San Francisco ,Brazil,1,0,USA, ,H,Brazil,1
506,1994,05-Jul-94, 13:00 ,Round of 16,Foxboro Stadium,Boston ,Nigeria,1,2,Italy,Italy win after extra time ,A,Italy,3
507,1994,05-Jul-94, 16:30 ,Round of 16,Giants Stadium,New York/New Jersey ,Mexico,1,1,Bulgaria,Bulgaria win on penalties (1 - 3) ,D,Draw,2
508,1994,09-Jul-94, 12:00 ,Quarter-finals,Foxboro Stadium,Boston ,Italy,2,1,Spain, ,H,Italy,3
509,1994,09-Jul-94, 14:30 ,Quarter-finals,Cotton Bowl,Dallas ,Netherlands,2,3,Brazil, ,A,Brazil,5
510,1994,10-Jul-94, 12:00 ,Quarter-finals,Giants Stadium,New York/New Jersey ,Bulgaria,2,1,Germany, ,H,Bulgaria,3
511,1994,10-Jul-94, 12:30 ,Quarter-finals,Stanford Stadium,San Francisco ,Romania,2,2,Sweden,Sweden win on penalties (4 - 5) ,D,Draw,4
512,1994,13-Jul-94, 16:00 ,Semi-finals,Giants Stadium,New York/New Jersey ,Bulgaria,1,2,Italy, ,A,Italy,3
513,1994,13-Jul-94, 16:30 ,Semi-finals,Rose Bowl,Los Angeles ,Sweden,0,1,Brazil, ,A,Brazil,1
514,1994,16-Jul-94, 12:30 ,Match for third place,Rose Bowl,Los Angeles ,Sweden,4,0,Bulgaria, ,H,Sweden,4
515,1994,17-Jul-94, 12:30 ,Final,Rose Bowl,Los Angeles ,Brazil,0,0,Italy,Brazil win on penalties (3 - 2) ,D,Draw,0
516,1998,10-Jun-98, 17:30 ,Group A,Stade de France,Saint-Denis ,Brazil,2,1,Scotland, ,H,Brazil,3
